,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
1597,2012,0000851726,4386484,19508840,-3301156,-5839075,9582085,441854,-5849595,-4219681,SFEG
1601,2012,0000918251,168231000,170419000,-38488000,-1591000,70182000,30140000,-27487000,-48514000,MPAA
1605,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1606,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1607,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1608,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1609,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1610,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1611,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1612,2012,0001368275,353048,119677,-340757,-40460,695696,313202,-305240,-305309,WESC
1613,2011,0000737207,2576000,4639000,-16117000,3000,16024000,-90000,-34995000,-29424000,ATRX
1631,2012,0001422892,9786401,8032427,-355667,-42680,-28097,-445495,-2924314,-1768075,SGLY
1632,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1633,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1634,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1635,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1636,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1637,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1638,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1639,2012,0000912603,516819000,178842000,244790000,-84266000,-120052000,40401000,-1367000,-485000,SCHN
1654,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1655,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1656,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1657,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1658,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1659,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1660,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1661,2011,0001083490,8591116,22370788,-4875740,-2622980,5840436,-1596904,-825188,-1416822,SRRE
1662,2011,0000914208,3834100000,2974400000,964800000,348100000,-1322100000,-9200000,898100000,729700000,IVZ
1667,2012,0001512927,1491618,1137964,-344495,-24557,304872,-39002,-376646,-103468,CUII
1679,2012,0001379006,14589159,1779615,-4217986,-58552,9327500,5050962,-6081749,-6207207,NNVC
1680,2012,0001409624,156552,1013383,103763,-26022,0,77741,-42099,-112947,HMLA
1711,2012,0000897723,2326299000,1219547000,215413000,-78027000,-366813000,-230670000,137490000,180234000,SANM
1722,2012,0000829224,4199600000,2209800000,1750300000,-974000000,-745500000,40500000,1997400000,1383800000,SBUX
1724,2012,0001260221,1050531000,233915000,413885000,-876292000,527186000,64341000,699775000,324969000,TDG
1734,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1735,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1736,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1737,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1738,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1739,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1740,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1741,2012,0001124941,630775000,295949000,85361000,-157035000,-31824000,-102822000,143672000,75565000,BECN
1743,2012,0001005210,338280000,253715000,110973000,-239758000,113549000,-15236000,42901000,1882000,SPH
1746,2012,0000063296,385225000,180873000,82123000,-45274000,-40971000,-3403000,21852000,12975000,MATW
1748,2012,0000784539,31201000,13815000,2889000,700000,-2313000,1200000,4322000,2420000,EACO
1759,2012,0001443388,0,612744,-779799,0,668000,-111799,-1132465,-1238054,GRYN
1779,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1780,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1781,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1782,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1783,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1784,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1785,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1786,2012,0000716688,1926819,377683,86598,-192398,-130068,-235868,9046,75801,MFCO
1809,2012,0000936395,1415690000,684970000,107089000,-11977000,7940000,100548000,-79846000,-144021000,CIEN
